Adhar Number,First Name,Last Name,Date of Birth,Gender,Phone Number,District
355155177419,Taimur,Chawla,1967-07-12,M,709-5863-932,Kannur
737517456757,Kiaan,Varty,1994-01-03,F,627-1771-922,Malappuram
273958006252,Dhruv,Borra,1959-10-23,F,779-2512-592,Kottayam
308320908679,Jhanvi,Banerjee,1982-09-19,M,604-3350-804,Thiruvananthapuram
234287178653,Bhamini,Tella,1955-03-28,M,626-4364-047,Kottayam
677411085828,Shayak,Jha,1992-11-16,F,752-2816-580,Kasaragod
583565700359,Miraya,Lad,1977-03-15,F,652-6355-281,Thrissur
329219900770,Myra,Kumar,1958-01-02,M,795-8388-634,Palakkad
877600750729,Aaryahi,Arora,1998-09-22,M,696-7534-112,Alappuzha
432679464949,Indrajit,Mandal,1974-02-26,F,639-1854-845,Pathanamthitta
966437143483,Madhav,Taneja,1966-02-11,F,942-5123-937,Thiruvananthapuram
568005890053,Madhup,Chatterjee,1990-01-25,M,881-4959-228,Wayanad
201287061056,Eshani,Mangat,1966-12-18,F,962-4473-273,Alappuzha
161760895456,Samaira,Biswas,1979-03-24,F,981-3578-159,Kozhikode
188026374010,Reyansh,Ratti,1954-09-01,M,612-3178-244,Malappuram
352707353119,Veer,Rana,1992-05-07,F,665-2790-029,Kottayam
770786522120,Kartik,Kibe,1967-05-10,F,686-1848-841,Pathanamthitta
708168261459,Aayush,Khurana,1965-02-17,F,684-0817-807,Thiruvananthapuram
636013177231,Nehmat,Sankaran,1999-10-26,F,832-0505-938,Malappuram
285884843510,Siya,Ganguly,1970-12-27,F,620-8777-361,Malappuram
958796462309,Anahi,Salvi,1972-04-15,F,968-9542-283,Wayanad
674637885027,Drishya,Rout,1973-10-14,F,705-2269-052,Wayanad
600863133854,Mamooty,Shankar,1989-04-09,M,760-8741-432,Thrissur
549668411224,Piya,Swaminathan,1960-11-10,M,835-5069-719,Thiruvananthapuram
488814313954,Yuvaan,Sani,1996-06-10,F,889-2526-005,Idukki
598589467539,Hazel,Bhatia,1978-10-10,F,915-1089-314,Kozhikode
255581555846,Ivan,Gera,1978-09-29,F,697-8809-062,Kottayam
868832829749,Lakshit,Konda,1998-01-21,F,653-1085-347,Thiruvananthapuram
707592389803,Anay,Dalal,1977-03-24,M,689-5965-096,Thiruvananthapuram
700350553373,Hridaan,Vohra,1959-04-15,F,737-4124-793,Kannur
297787483756,Adira,Garg,2000-01-01,M,675-0063-841,Kozhikode
163305556386,Oorja,Gopal,1957-01-30,F,690-3093-620,Kollam
768142652935,Krish,Saha,1988-08-20,F,694-1872-484,Kozhikode
378750685866,Damini,Gara,2000-04-06,F,838-9083-169,Ernakulam
709095010745,Divij,Sibal,1976-01-07,F,776-2821-944,Kollam
492394465500,Shlok,Ratti,1996-11-25,F,896-1956-971,Pathanamthitta
353684967904,Ranbir,Ranganathan,1988-02-20,M,932-1951-221,Kollam
264642135731,Onkar,Chatterjee,1968-04-19,M,842-2494-866,Palakkad
491545619043,Anika,Sethi,1991-01-22,M,659-7879-407,Idukki
346561208706,Ryan,Raman,1997-12-07,F,973-1912-611,Idukki
535121949358,Ritvik,Krish,1954-12-04,M,726-7128-380,Alappuzha
249203030026,Mohanlal,Srinivasan,1996-01-01,M,611-6049-997,Kannur
954101443483,Ayesha,Sood,1950-01-25,M,949-8788-559,Palakkad
972224479436,Neelofar,Buch,1986-01-08,F,975-1280-059,Ernakulam
925226311547,Kimaya,Sodhi,1963-04-09,M,769-8505-921,Kasaragod
501508635626,Gatik,Johal,1980-04-18,F,888-3164-700,Idukki
523134180221,Aarush,Subramanian,1979-12-25,M,817-8471-942,Malappuram
680653548286,Lakshay,Kala,1952-06-06,M,887-2320-862,Kannur
486741415878,Yuvraj ,Magar,1986-07-31,F,728-3715-872,Kasaragod
514265798314,Jiya,Sinha,1989-08-25,F,985-6948-600,Wayanad
524404540955,Baiju,Bhatti,1994-09-11,M,749-5513-737,Ernakulam
328752081650,Miraan,Samra,1983-03-30,M,605-2821-141,Kasaragod
198277482900,Rhea,Deol,1999-06-20,F,981-5274-303,Kottayam
253436918073,Dhanush,Dash,1953-09-27,M,770-8735-336,Kollam
899413378066,Biju,Kapoor,1978-05-20,F,802-5107-293,Pathanamthitta
722528095834,Tara,Khanna,1977-03-21,F,650-2348-818,Palakkad
600777763556,Arhaan,Suri,1972-09-07,F,642-6354-163,Palakkad
661277725794,Kanav,Sahni,1998-09-28,F,666-9979-957,Alappuzha
464960887301,Devansh,Jani,1962-05-16,M,632-1673-201,Malappuram
687908406242,Shanaya,Uppal,1977-09-21,F,754-2378-516,Alappuzha
505769199259,Taran,Grover,2000-10-08,M,922-3607-508,Ernakulam
165667281199,Vanya,Hegde,1978-05-03,F,865-4840-675,Wayanad
746839167957,Amani,Deol,1954-03-07,M,759-6138-127,Pathanamthitta
474343591330,Parinaaz,Dash,1971-04-20,M,826-0722-596,Thiruvananthapuram
743255716392,Yakshit,Varkey,1961-01-31,M,686-6648-081,Palakkad
836712570762,Vaibhav,Cherian,1970-10-13,M,695-5598-601,Alappuzha
307196075791,Jayan,Yogi,1993-11-01,F,920-2577-012,Wayanad
499929126410,Riya,Mangal,1991-08-16,F,610-9048-158,Kozhikode
228320082127,Keya,Viswanathan,1958-04-08,F,900-4185-807,Kollam
951465017888,Badal,Deshpande,1955-02-23,M,762-0391-347,Malappuram
680020330982,Renee,Gour,1974-06-03,M,678-9578-186,Pathanamthitta
252630910464,Emir,Ram,1951-10-08,M,770-5420-271,Kozhikode
